feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,class
-2.899907388,0.416955705,-2.537387306,1,0.5258149745431029,-2.830055675,-2.770089277,-0.522187865,-0.016822468,3.997905588,-1.609850732,-1.426545319,-2.772272145,0.33512687546883546,-4.289253782,-2.312226542,-1.14074718,-0.3649687083712343,1.951992011,3.202033207,0,1
-0.50314086,0.28334483,0.325574266,1,0.317668237409367,0.599717414,-0.270952836,1.35980513,1.725321007,2.288643618,1.08846278,-1.064822523,-0.838586565,0.8885376833299596,-1.692028933,-3.043540624,0.666779696,-0.7404338544936472,-3.157307121,-0.414575448,0,1
-6.560124295,-1.334441067,0.562319782,0,0.08732203941253247,-4.781830856,-0.238253368,-0.821628328,-2.615664945,2.330243051,-0.359744743,-0.075787571,-1.525411627,-0.6960597571136606,-1.470101536,-2.303349568,-2.282193829,-0.856080568463961,1.75924746,2.032912158,1,1
-10.91281932,0.308333946,-3.496197293,0,0.08202356402174854,-12.59841854,-0.247767899,-1.128130942,-5.131548628,2.679786967,-2.592844218,-1.706536388,-4.801637406,1.1030511119674804,-6.771096725,-4.397974442,-7.358083221,1.2762551565400542,1.358367028,4.895844223,0,1
-4.609628391,-2.721853122,1.713444988,0,0.37051702311018714,6.739384385,-1.28285782,3.624200831,3.042493178,4.73279513,-4.304596885,-1.357745663,-2.447469255,1.32218132846126,-6.079337193,1.234235046,2.581850954,-0.07994644110322453,3.019740421,2.101343865,0,1
-9.854484823,-1.934665739,-1.631734673,0,0.06488106643805172,-1.129055877,-2.795892464,0.768307025,0.116452521,6.675732163,-6.240696572,-3.353059548,-6.18789063,-0.5407339513835683,-10.69119621,0.008430365,-2.041973791,-0.3228271573086864,4.137836835,5.664394709,1,1
-8.948178579,-1.327356635,-1.6891022,1,2.0646097017969733,-1.746350136,-3.139409057,1.329665669,0.776744098,6.348556673,-6.560599968,-2.513478848,-6.045467798,-1.599923816292689,-10.7338541,0.026779226,-1.638960115,1.3628388050767586,4.132463897,6.754625448,0,1
-8.873748362,-2.370599451,-0.812891249,0,0.970664620505062,1.313013629,-2.214311312,1.667359013,0.773913873,6.078265506,-5.775935108,-2.420168414,-5.134454471,1.9649689216894797,-9.17716637,0.329594333,-0.87168849,0.650291256317571,3.712889295,4.560720106,1,1
-7.520117393,-1.808012159,-0.746579273,0,0.3621199777910176,0.784426598,-2.678678542,1.554025957,1.494304607,6.047445102,-5.615159011,-2.651353112,-4.959492912,-0.2136859018778403,-9.252307247,0.316459,-0.502362191,0.3406941572271342,3.809075947,6.439053352,1,1
-7.148242636,2.250123249,-3.968592618,0,1.4878794853793744,-4.830324242,-0.486096552,-1.73041059,-0.64909012,4.007682805,-5.329976183,-1.732192568,-4.624984954,1.0857020413377443,-6.210257747,0.72564574,-3.599540209,1.312057457817489,2.300894438,5.588723915,1,1
-8.167188052,1.554197263,-3.878088455,0,0.688189362282871,-3.754128066,-0.166199039,-2.170806216,-1.049177402,4.416661243,-5.234513296,-2.667553561,-5.009248502,1.2729893580762823,-6.763334391,0.7027099,-3.81175841,0.9545456576142388,2.426432806,4.675729419,0,1
-7.186451591,1.118263552,-3.059245032,1,0.5667050638161145,-1.31205856,0.415382113,-1.271754227,-0.391716051,3.819194585,-4.769751832,-1.734662427,-3.955812344,-0.21688316012684838,-5.249304549,1.023873869,-2.641473109,-0.8448360524875909,2.001485266,3.572054816,0,1
-7.333714067,0.351948943,-3.513686871,0,0.5537436692867777,-4.835112052,-1.207166361,-1.405043314,-0.553026089,2.357096252,-4.137421983,-1.879437193,-6.234561332,0.7198139573292663,-6.608068252,-1.585505367,-2.60247787,-0.6917081690535908,3.261584548,5.450746067,1,1
-8.243262434,-0.265421595,-3.430559149,1,2.476245597559663,-4.214486275,-0.776941495,-1.976415411,-1.213607848,2.625368153,-3.822742266,-2.731689012,-6.199881763,0.8048235112232232,-6.590550297,-1.783228837,-3.028452388,0.07056805973001351,3.402793713,4.366713486,1,1
-7.309747984,-0.089724411,-1.496497056,1,1.1490540958664148,1.524500915,-2.351190159,0.973366023,1.831363533,7.380244518,-7.423893589,-2.730761517,-3.944238498,-0.11244704059623967,-9.057992529,0.857321004,-1.073116527,-1.4336521091185845,4.093911827,6.355077737,0,1
-10.47522865,-2.071450488,-1.713402063,1,0.01484449506997752,-3.535523512,-3.796354252,1.204392572,0.130360307,5.701500431,-5.926129694,-3.035137548,-7.454840651,-0.6191404419305999,-11.73672912,-1.813280485,-2.442353983,-0.6177260650249887,4.917850711,7.388055123,0,1
-10.28528252,-1.314495097,-2.436652527,1,3.3526213998795655,-3.204383403,-3.371638572,0.616296505,0.086521896,6.796796681,-6.891437717,-2.966326542,-6.810813099,0.6519690257692323,-11.54349792,-0.25147096,-2.689284204,0.02189120121871177,4.313523326,7.620089058,1,1
-8.525464925,2.177385687,-4.684053936,0,0.30865544075193324,-5.844266479,-0.694695511,-2.315027286,-1.102730795,4.522499605,-5.92003738,-2.278351654,-5.52627806,1.6304366158076777,-7.67866801,0.31459659,-4.478136595,-1.3043144554391906,2.660670277,6.662436831,0,1
